Platform,Year,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Title
PC,2009.0,Simulation,Electronic Arts,0.98,6.42,0.0,0.71,8.11,The Sims(tm) 3
PC,2004.0,Role-Playing,Activision,0.07,6.21,0.0,0.0,6.28,World of Golf
PC,2012.0,Role-Playing,Activision,2.43,2.15,0.0,0.62,5.2,Mafia III
PC,1996.0,Simulation,Microsoft Game Studios,3.22,1.69,0.0,0.2,5.12,Island Flight Simulator
PC,2010.0,Strategy,Activision,2.56,1.68,0.0,0.59,4.83,Kohan II: Kings of War
PC,1995.0,Strategy,Activision,1.7,2.27,0.0,0.23,4.21,Castle In The Darkness
PC,1997.0,Shooter,Vivendi Games,4.03,0.0,0.09,0.0,4.12,Half-Life
PC,2007.0,Role-Playing,Activision,2.57,1.52,0.0,0.0,4.09,World of Subways 2 - Berlin Line 7
PC,2011.0,Role-Playing,Bethesda Softworks,1.15,2.09,0.0,0.64,3.88,The Elder Scrolls V: Skyrim
PC,2002.0,Simulation,Electronic Arts,2.03,1.56,0.0,0.17,3.76,Shift 2 Unleashed
PC,1994.0,Shooter,Virgin Interactive,2.05,1.4,0.0,0.16,3.61,Anomaly: Warzone Earth
PC,2002.0,Simulation,Electronic Arts,1.72,1.21,0.0,0.14,3.07,The Final Station
PC,2000.0,Misc,Electronic Arts,1.67,1.18,0.0,0.13,2.99,The Mims Beginning
PC,2014.0,Simulation,Electronic Arts,0.96,1.72,0.0,0.29,2.97,The Sunset
PC,2011.0,Role-Playing,Electronic Arts,1.58,1.01,0.0,0.38,2.97,Melancholy Republic
PC,1996.0,Strategy,Virgin Interactive,1.37,1.34,0.0,0.14,2.85,Command & Conquer: Red Alert 3
PC,1994.0,Adventure,Red Orb,0.02,2.79,0.0,0.0,2.81,Myst V
PC,2011.0,Shooter,Electronic Arts,0.89,1.43,0.0,0.48,2.79,Battle Fleet 2
PC,1997.0,Adventure,Red Orb,1.52,0.82,0.0,0.1,2.43,Riven: The Sequel to MYST
PC,1997.0,Strategy,Electronic Arts,2.3,0.1,0.0,0.0,2.4,The Lost
PC,1994.0,Misc,Hasbro Interactive,1.49,0.81,0.0,0.1,2.39,Monopoly
PC,2004.0,Shooter,Vivendi Games,2.28,0.02,0.08,0.0,2.37,Half-Life 2
PC,2012.0,Action,NCSoft,0.95,1.06,0.0,0.29,2.3,Arena Wars 2
PC,1997.0,Action,Eidos Interactive,0.91,1.25,0.0,0.13,2.29,Tomb Raider II
PC,2001.0,Simulation,Electronic Arts,1.23,0.83,0.0,0.1,2.16,The Ship: Murder Party
PC,1992.0,Simulation,Maxis,1.2,0.84,0.0,0.1,2.14,CivCity: Rome
PC,2010.0,Role-Playing,Activision,1.77,0.32,0.0,0.0,2.08,Kingdom Wars 2: Battles
PC,1998.0,Strategy,Electronic Arts,2.04,0.04,0.0,0.0,2.08,The Park
PC,1994.0,Strategy,Activision,0.89,1.08,0.0,0.11,2.08,Scary Humans
PC,1994.0,Shooter,LucasArts,1.09,0.77,0.0,0.09,1.95,STAR WARS(tm) - Dark Forces
PC,1999.0,Misc,Disney Interactive Studios,1.94,0.0,0.0,0.0,1.94,I Want To Be Human
PC,2003.0,Simulation,Electronic Arts,1.03,0.8,0.0,0.09,1.92,The Mims Beginning
PC,2012.0,Role-Playing,Activision,0.84,0.76,0.0,0.23,1.83,World War 2: Time of Wrath
PC,2001.0,Simulation,Electronic Arts,1.81,0.0,0.0,0.0,1.82,The Great Art Race
PC,2011.0,Shooter,Activision,0.41,0.98,0.0,0.33,1.72,Call of Duty(r): Modern Warfare(r) 3
PC,2010.0,Simulation,Electronic Arts,0.59,0.87,0.0,0.25,1.71,RACE: Caterham Expansion
PC,2010.0,Strategy,Take-Two Interactive,0.98,0.52,0.0,0.19,1.69,Sid Meiers Civilization(r) V
PC,2003.0,Simulation,Electronic Arts,1.67,0.0,0.0,0.0,1.68,The First Spark
PC,2013.0,Strategy,Activision,0.82,0.65,0.0,0.19,1.67,Atlantis: Pearls of the Deep
PC,,Shooter,Activision,0.58,0.81,0.0,0.24,1.63,Call of Duty(r): Black Ops
PC,1996.0,Role-Playing,Activision,0.01,1.58,0.0,0.0,1.59,Ziro
PC,1999.0,Strategy,Westwood Studios,1.55,0.0,0.0,0.0,1.55,Command & Conquer 3: Tiberium Wars
PC,2003.0,Strategy,Activision,0.58,0.87,0.0,0.09,1.54,Secret Of The Royal Throne
PC,2012.0,Shooter,Activision,0.63,0.69,0.0,0.21,1.53,Call of Duty(r): Black Ops II
PC,2011.0,Sports,Sega,0.02,1.16,0.0,0.34,1.51,Football Manager 2016
PC,2010.0,Role-Playing,Square Enix,0.86,0.48,0.0,0.17,1.5,FINAL FANTASY(r) XIV: A Realm Reborn(tm)
PC,2011.0,Strategy,Ubisoft,0.0,1.13,0.0,0.32,1.45,Anno 2070(tm)
PC,2013.0,Simulation,Electronic Arts,0.48,0.77,0.0,0.19,1.44,Ships 2017
